Mindat Locality ID,Long-form identifier,GUID,Latitude & Longitude,Altitude,GeoHash,GRN,Type,Köppen climate type,Mineral
191723,mindat:1:2:191723:,Generated_GUID,"46.30308,8.06203",1882,u0jxrmnwf,N31E05,Unknown,Subarctic climate,Magnetite
25812,mindat:1:2:25812:,Generated_GUID,"46.48333,7.56667",1292,u0m2knjch,N31E04,Unknown,Tundra,'var. Adularia'
191712,mindat:1:2:191712:,Generated_GUID,"46.04722,7.48778",1809,u0jmfqskt,N31E04,Mine,Tundra,Mackinawite
130614,mindat:1:2:130614:,Generated_GUID,"46.63215,8.49746",2558,u0q1335ev,N32E05,Glacier,Subarctic climate,Fluorite
193356,mindat:1:2:193356:,Generated_GUID,"46.55010,8.59056",2170,u0q0g6pmy,N32E05,Mountain,Tundra,var. Pennine
245927),mindat:1:2:245927):,Generated_GUID,"46.28694,9.99833",2787,u0pp7d28c,N31E06,Slope,Tundra,Muscovite
193359,mindat:1:2:193359:,Generated_GUID,"45.91353,8.94990",1058,u0nm5wm1e,N31E05,Mountain,Temperate oceanic climate,Sanidine
134453,mindat:1:2:134453:,Generated_GUID,"46.68694,8.83194",1309,u0q38gp5p,N32E05,Road Cutting,Tundra,Siderite
29314,mindat:1:2:29314:,Generated_GUID,"46.79556,6.52056",797,u0kdhqu5g,N32E04,Group of Quarries (Abandoned) - last checked 2023,Temperate oceanic climate,Marcasite
191937,mindat:1:2:191937:,Generated_GUID,"46.39906,9.83831",2505,u0nzzysn1,N31E05,Slope,Tundra,Rhodochrosite
193001,mindat:1:2:193001:,Generated_GUID,"46.73650,8.81470",2801,u0q3bs4ev,N32E05,Unknown,Tundra,Quartz
121017,mindat:1:2:121017:,Generated_GUID,"45.92778,7.78528",4027,u0jt30vhd,N31E04,Mountain,Subarctic climate,Natrolite
426840,mindat:1:2:426840:,Generated_GUID,"46.79459,8.38982",1761,u0mfnytq1,N32E05,Lake,Subarctic climate,Xenotime-(Y)
133912,mindat:1:2:133912:,Generated_GUID,"46.58830,7.72417",963,u0m3pc0sd,N32E04,Valley,Temperate oceanic climate,Brookite
59804,mindat:1:2:59804:,Generated_GUID,"46.57694,8.72806",2930,u0q0yx5d6,N32E05,Unknown,Tundra,Synchysite-(Y)
134040,mindat:1:2:134040:,Generated_GUID,"46.38356,9.62396",2491,u0nzfgzgy,N31E05,Group of Mountains,Tundra,Ardennite-(As)
191736,mindat:1:2:191736:,Generated_GUID,"46.97774,9.25905",1865,u0qe68n1p,N32E05,Unknown,Tundra,Vandendriesscheite
192951,mindat:1:2:192951:,Generated_GUID,"47.26539,9.36199",2117,u0qsvh3hy,N32E05,Unknown,Temperate oceanic climate,var. Oil Quartz
122628,mindat:1:2:122628:,Generated_GUID,"46.26083,7.02917",492,u0hzpvw2z,N31E04,Mine,Tundra,Chalconatronite
3225,mindat:1:2:3225:,Generated_GUID,"46.54278,8.54750",2695,u0q0f8b57,N32E05,Mountain,Tundra,Senaite
193436,mindat:1:2:193436:,Generated_GUID,"46.29060,10.05011",1566,u0ppkdyq2,N31E06,Deposit,Tundra,'Chlorite Group'
134047,mindat:1:2:134047:,Generated_GUID,"46.86778,9.43806",2369,u0qdwu08d,N32E05,Unknown,Tundra,Cerussite
266811,mindat:1:2:266811:,Generated_GUID,"46.03598,7.96058",2130,u0jtvhsen,N31E05,Reservoir,Tundra,'Amphibole Supergroup'
69716,mindat:1:2:69716:,Generated_GUID,"45.95156,8.92502",659,u0nm7j4zr,N31E05,Quarry,Temperate oceanic climate,Phenakite
191935,mindat:1:2:191935:,Generated_GUID,"46.17830,7.82448",1646,u0jwdn985,N31E04,Town,Tundra,var. Milky Quartz
133989,mindat:1:2:133989:,Generated_GUID,"46.18942,7.03808",776,u0jnb0sbz,N31E04,Unknown,Tundra,Bassetite ?
133974,mindat:1:2:133974:,Generated_GUID,"47.79556,8.58160",678,u0qpgkbvm,N32E05,Hamlet,Temperate oceanic climate,'Apatite'
31370,mindat:1:2:31370:,Generated_GUID,"46.03840,7.88650",3552,u0jtgmnc0,N31E04,Mineral Occurrence Area,Tundra,Paragonite
134509,mindat:1:2:134509:,Generated_GUID,"47.02833,8.62111",447,u0q5s1jxy,N32E05,Quarry,Temperate oceanic climate,Baryte
193530,mindat:1:2:193530:,Generated_GUID,"46.19288,9.02108",268,u0nqv30vn,N31E05,Unknown,Subarctic climate,Sillimanite
29206,mindat:1:2:29206:,Generated_GUID,"46.09614,7.07974",474,u0jn1pe36,N31E04,Tunnel,Tundra,'Hornblende Root Name Group'
192954,mindat:1:2:192954:,Generated_GUID,"47.30940,9.55587",443,u0qv1kqm5,N32E05,Mountain,Temperate oceanic climate,var. Oil Quartz
426826,mindat:1:2:426826:,Generated_GUID,"46.92225,7.43707",724,u0m6cjztb,N32E04,Quarry,Temperate oceanic climate,var. Berner Sandstein'
134432,mindat:1:2:134432:,Generated_GUID,"46.27841,9.17090",384,u0nx28wp3,N31E05,Hamlet,Subarctic climate,'Tourmaline'
29366,mindat:1:2:29366:,Generated_GUID,"47.18167,7.25167",653,u0mhmj0t0,N32E04,Quarry,Temperate oceanic climate,Marcasite
144452,mindat:1:2:144452:,Generated_GUID,"45.93868,7.75907",4058,u0jt2dcup,N31E04,Mountain,Subarctic climate,Fluorapatite
11336,mindat:1:2:11336:,Generated_GUID,"46.09111,7.11194",1416,u0jn1ydu0,N31E04,Unknown,Tundra,Senaite
122682,mindat:1:2:122682:,Generated_GUID,"46.22851,7.59755",1875,u0jquzske,N31E04,Unknown,Tundra,Melanterite
41161,mindat:1:2:41161:,Generated_GUID,"46.13194,7.73806",3365,u0jw2n4dj,N31E04,Pass,Tundra,Paragonite
250005,mindat:1:2:250005:,Generated_GUID,"47.34556,7.88167",404,u0mt76grb,N32E04,Unknown,Temperate oceanic climate,'Silex'
29317,mindat:1:2:29317:,Generated_GUID,"47.50597,7.60827",282,u0mqm0hnm,N32E04,Quarry,Temperate oceanic climate,Gypsum
157767,mindat:1:2:157767:,Generated_GUID,"45.94768,7.81536",3035,u0jt3udbx,N31E04,Glacier,Subarctic climate,Azurite
253343,mindat:1:2:253343:,Generated_GUID,"46.07500,6.96028",1510,u0hyn7sq6,N31E04,Unknown,Temperate oceanic climate,Muscovite
423460,mindat:1:2:423460:,Generated_GUID,"46.50000,9.63333",1662,u0qbe1nf0,N31E05,Outcrop,Tundra,'Chlorite Group'
188918,mindat:1:2:188918:,Generated_GUID,"46.47210,8.72708",2130,u0q0qefze,N31E05,Pass,Subarctic climate,Dravite
61119,mindat:1:2:61119:,Generated_GUID,"46.53333,8.40000",2485,u0mbxphsq,N32E05,Valley,Subarctic climate,Magnesite
133996,mindat:1:2:133996:,Generated_GUID,"46.32670,9.56654",1102,u0nz99w0s,N31E05,Valley,Tundra,Titanite
191784,mindat:1:2:191784:,Generated_GUID,"46.46353,8.62804",1810,u0q0k66v8,N31E05,Alpine Pasture,Subarctic climate,'Chlorite Group'
134059,mindat:1:2:134059:,Generated_GUID,"47.68912,8.81322",402,u0qr29994,N32E05,Farm,Temperate oceanic climate,Magnetite
130991,mindat:1:2:130991:,Generated_GUID,"46.76282,8.80578",2042,u0q602ujj,N32E05,Valley,Tundra,'Hornblende Root Name Group'
245937,mindat:1:2:245937:,Generated_GUID,"46.36371,9.97975",2964,u0ppg0700,N31E06,Glacier,Tundra,Anatase
130958,mindat:1:2:130958:,Generated_GUID,"46.57667,8.38833",2243,u0mbyzh0w,N32E05,Unknown,Subarctic climate,Cerussite
193506,mindat:1:2:193506:,Generated_GUID,"46.38759,6.93899",382,u0hzvusg6,N31E04,Pit,Temperate oceanic climate,Gypsum
239063,mindat:1:2:239063:,Generated_GUID,"46.69258,8.69133",2844,u0q1tu0gf,N32E05,Mountain,Tundra,'var. Byssolite'
193419,mindat:1:2:193419:,Generated_GUID,"46.70112,7.21319",1201,u0m1sjsmx,N32E04,Gorge,Temperate oceanic climate,'Amber'
134376,mindat:1:2:134376:,Generated_GUID,"46.04521,7.89805",3701,u0jtgwr0v,N31E04,Mountain,Tundra,var. Allalin-gabbro'
134534,mindat:1:2:134534:,Generated_GUID,"46.66383,8.52983",1559,u0q16nghr,N32E05,River Valley,Tundra,Bavenite
191634,mindat:1:2:191634:,Generated_GUID,"46.51316,9.64303",1860,u0qbe7myf,N32E05,Occurrence,Tundra,Chalcopyrite
107785,mindat:1:2:107785:,Generated_GUID,"46.30306,8.14056",3089,u0jz3jpyb,N31E05,Occurrence,Subarctic climate,Cerussite
257786,mindat:1:2:257786:,Generated_GUID,"47.42133,8.15133",404,u0mvc2z95,N32E05,Group of Quarries,Temperate oceanic climate,Kutnohorite
6478,mindat:1:2:6478:,Generated_GUID,"46.57306,9.68444",2241,u0qbuq7gx,N32E05,Mine,Tundra,var. Chalcedony
108726,mindat:1:2:108726:,Generated_GUID,"46.21483,7.60335",1626,u0jqvj0sf,N31E04,Mine,Tundra,Brochantite
