Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
122682,"46.22851,7.59755",1875,Unknown,Tundra,Melanterite,SULFATE_UND_HYDROXIDE
41161,"46.13194,7.73806",3365,Pass,Tundra,Paragonite,GLIMMER
250005,"47.34556,7.88167",404,Unknown,Temperate oceanic climate,Silex,QUARTZ
29317,"47.50597,7.60827",282,Quarry,Temperate oceanic climate,Gypsum,SULFATE_UND_HYDROXIDE
157767,"45.94768,7.81536",3035,Glacier,Subarctic climate,Azurite,PHOSPHATE
253343,"46.07500,6.96028",1510,Unknown,Temperate oceanic climate,Muscovite,SILICATE
423460,"46.50000,9.63333",1662,Outcrop,Tundra,Chlorite,CHLORIT
188918,"46.47210,8.72708",2130,Pass,Subarctic climate,Dravite,PHOSPHATE
61119,"46.53333,8.40000",2485,Valley,Subarctic climate,Magnesite,SULFATE_UND_HYDROXIDE
133996,"46.32670,9.56654",1102,Valley,Tundra,Titanite,TITANIT
191784,"46.46353,8.62804",1810,Alpine Pasture,Subarctic climate,Chlorite,CHLORIT
134059,"47.68912,8.81322",402,Farm,Temperate oceanic climate,Magnetite,SULFIDE
130991,"46.76282,8.80578",2042,Valley,Tundra,Hornblende Root Name,GLIMMER
245937,"46.36371,9.97975",2964,Glacier,Tundra,Anatase,RUTIL
130958,"46.57667,8.38833",2243,Unknown,Subarctic climate,Cerussite,PHOSPHATE
193506,"46.38759,6.93899",382,Pit,Temperate oceanic climate,Gypsum,SULFATE_UND_HYDROXIDE
239063,"46.69258,8.69133",2844,Mountain,Tundra,Byssolite,GLIMMER
193419,"46.70112,7.21319",1201,Gorge,Temperate oceanic climate,Amber,QUARTZ
134376,"46.04521,7.89805",3701,Mountain,Tundra,Allalin-gabbro,SERPENTIN
134534,"46.66383,8.52983",1559,River Valley,Tundra,Bavenite,SILICATE
191634,"46.51316,9.64303",1860,Occurrence,Tundra,Chalcopyrite,PHOSPHATE
107785,"46.30306,8.14056",3089,Occurrence,Subarctic climate,Cerussite,PHOSPHATE
257786,"47.42133,8.15133",404,Group of Quarries,Temperate oceanic climate,Kutnohorite,DOLOMIT
6478,"46.57306,9.68444",2241,Mine,Tundra,Chalcedony,QUARTZ
108726,"46.21483,7.60335",1626,Mine,Tundra,Brochantite,SILICATE
108301,"46.37767,7.73888",2032,Alpine Pasture,Tundra,Anatase,RUTIL
