Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
133996,"46.32670,9.56654",1102,Valley,Tundra,Titanite
191784,"46.46353,8.62804",1810,Alpine Pasture,Subarctic climate,Chlorite
134059,"47.68912,8.81322",402,Farm,Temperate oceanic climate,Magnetite
130991,"46.76282,8.80578",2042,Valley,Tundra,Hornblende Root Name
245937,"46.36371,9.97975",2964,Glacier,Tundra,Anatase
130958,"46.57667,8.38833",2243,Unknown,Subarctic climate,Cerussite
193506,"46.38759,6.93899",382,Pit,Temperate oceanic climate,Gypsum
239063,"46.69258,8.69133",2844,Mountain,Tundra,Byssolite
193419,"46.70112,7.21319",1201,Gorge,Temperate oceanic climate,Amber
134376,"46.04521,7.89805",3701,Mountain,Tundra,Allalin-gabbro
134534,"46.66383,8.52983",1559,River Valley,Tundra,Bavenite
191634,"46.51316,9.64303",1860,Occurrence,Tundra,Chalcopyrite
107785,"46.30306,8.14056",3089,Occurrence,Subarctic climate,Cerussite
257786,"47.42133,8.15133",404,Group of Quarries,Temperate oceanic climate,Kutnohorite
6478,"46.57306,9.68444",2241,Mine,Tundra,Chalcedony
108726,"46.21483,7.60335",1626,Mine,Tundra,Brochantite
108301,"46.37767,7.73888",2032,Alpine Pasture,Tundra,Anatase
56576,"47.05250,9.17306",2211,Unknown,Temperate oceanic climate,Cerussite
123561,"46.32306,7.75694",1157,Tunnel,Tundra,Cerussite
191627,"46.11760,8.67350",1395,Valley,Subarctic climate,Graftonite
193355,"46.54431,8.56416",2025,Tunnel,Tundra,Rutile
192990,"46.66265,8.52474",1899,Cleft (Dormant) - last checked 2024,Tundra,Quartz
191765,"46.47653,8.72227",1836,Lake,Subarctic climate,Apatite
193027,"46.41063,8.68020",2451,Mountain,Subarctic climate,Rock Crystal
188640,"46.32406,9.62925",2896,Slope,Tundra,Epidote
223683,"46.16486,7.70432",2540,Unknown,Tundra,Nsutite
134488,"46.35648,8.49212",1785,Alpine Pasture,Subarctic climate,Matildite
191647,"46.67700,8.64087",2714,Pass,Tundra,Chlorite
23617,"46.12000,7.00139",1652,Prospect,Tundra,Schoepite
14678,"46.76454,8.75064",1557,Valley,Tundra,Fluorapophyllite
250821,"46.10169,7.58245",2364,Glacier,Tundra,Pentlandite
122627,"46.53047,9.32470",1795,Deposit,Tundra,Geigerite
134120,"47.11667,7.55000",480,Meteorite Fall Location,Temperate oceanic climate,Fayalite-Forsterite Series
245918,"46.29264,10.07775",968,Village,Tundra,Senarmontite
188912,"46.55828,9.02326",2997,Mountain,Tundra,Chlorite
191468,"46.26651,8.08563",3194,Mountain,Subarctic climate,Iron Rose
133201,"46.55611,8.56722",2093,Mountain Area,Tundra,Chlorite
193361,"46.46612,7.87721",3130,Mountain,Tundra,Pyroxene
133996,"46.32670,9.56654",1102,Valley,Tundra,Titanite
271093,"47.50562,7.85212",533,Unknown,Temperate oceanic climate,Muscovite
191715,"47.68622,8.59708",572,Hill,Temperate oceanic climate,Pyrite
108287,"46.07528,7.93000",3164,Mountain,Tundra,Titanite
133207,"46.44849,8.49593",2567,Slope,Subarctic climate,Muscovite
418871,"46.62215,8.83949",1698,Placer,Tundra,Cerussite
245911,"46.37486,10.03378",2129,Alpine Pasture,Tundra,Metastibnite
188757,"47.05100,8.79985",1129,Quarry,Temperate oceanic climate,Baryte
246339,"46.54711,9.48568",2239,Mountain,Tundra,Riebeckite
68485,"46.11111,7.32583",2211,Lake,Tundra,Chlorite
122697,"46.08009,7.07598",793,Unknown,Tundra,Römerite
133248,"46.69310,8.80050",1860,Unknown,Tundra,Plagioclase
191420,"47.51918,7.65339",400,Quarry,Temperate oceanic climate,Fluorite
29216,"46.08909,7.10774",1313,Unknown,Tundra,Brochantite
134086,"46.23765,7.63596",2553,Mine (Abandoned) - last checked 2020,Tundra,Chalcanthite
7758,"46.69243,8.70162",2411,Valley,Tundra,Phenakite
49520,"47.05762,9.45112",493,Mine,Temperate oceanic climate,Manganese-bearing Calcite
188750,"47.56519,8.34761",392,Quarry,Temperate oceanic climate,Baryte
23066,"46.21007,7.82152",1210,Group of Quarries,Tundra,Chlorite
191448,"46.83639,8.36056",1543,Mountain,Subarctic climate,Fluorite
14685,"46.16583,7.72333",2807,Glacier,Tundra,Nsutite
359484,"46.30192,10.03446",1616,Quarry,Tundra,Forsterite
260759,"46.78417,8.87472",2024,Occurrence,Tundra,Hematite
134128,"46.81861,7.21806",647,Meteorite Fall Location,Temperate oceanic climate,Fayalite-Forsterite Series
134064,"46.00241,7.75193",2247,Mountain,Tundra,Bravoite
31871,"46.32028,7.75500",850,Tunnel,Tundra,Cannizzarite
288517,"47.35819,7.65606",954,Pass,Temperate oceanic climate,Baryte
191744,"47.46219,8.23824",360,Pit,Temperate oceanic climate,Gypsum
134431,"46.29806,9.57389",2776,Mountain,Tundra,Cordierite
246069,"46.79825,9.70315",1453,Deposit,Tundra,Caryopilite
191762,"46.53750,7.44722",2213,Unknown,Temperate oceanic climate,Nesquehonite
134450,"46.26236,6.89469",1949,Mountain,Temperate oceanic climate,Diaspore
157683,"45.98903,7.80267",3268,Ridge,Subarctic climate,Lazulite
257497,"46.56250,9.68028",2493,Unknown,Tundra,Chlorite
191714,"47.54061,8.60555",709,Mountain Range,Temperate oceanic climate,Pyrite
286047,"46.24140,7.02152",548,Unknown,Tundra,Sceptre Quartz
191391,"46.93877,10.43253",2548,Unknown,Tundra,Epidote
426830,"46.95053,7.49473",615,Quarry,Temperate oceanic climate,Berner Sandstein
56465,"46.93123,6.65697",766,Mine,Temperate oceanic climate,Petroleum
134121,"46.93333,7.21667",509,Meteorite Fall Location,Temperate oceanic climate,Pyroxene
188749,"47.43491,8.06169",610,Pass,Temperate oceanic climate,Pyrite
29353,"46.57167,8.83000",3167,Mountain,Tundra,Danburite
134415,"46.18940,7.05935",1666,Unknown,Tundra,Berthierite
134031,"46.68513,8.85747",1140,Gorge,Tundra,Cerussite
22954,"46.56128,8.33670",2163,Pass,Subarctic climate,Chlorite
191618,"47.74798,8.68782",476,Quarry,Temperate oceanic climate,Melanterite
191619,"47.36310,7.23463",566,Unknown,Temperate oceanic climate,Limonite
31869,"46.07960,7.87880",3334,Occurrence,Tundra,Brochantite
191934,"47.39830,7.17893",595,Quarry (Active) - last checked 2019,Temperate oceanic climate,Pyrolusite
134463,"46.49888,9.61619",2273,Unknown,Tundra,Bravoite
134440,"46.42013,8.49978",2431,Unknown,Subarctic climate,Muscovite
417931,"46.47403,9.11971",2721,Outcrop,Subarctic climate,Paragonite
134455,"46.67140,8.78450",1386,Valley,Tundra,Anatase
56466,"46.32489,6.88858",512,Quarry,Temperate oceanic climate,Anilite
